SEASON,COLOUR,FLOWER,MONTH,winterWhite,winterBlue,winterRed,winterPurple,winterGreen,winterYellow,winterPink,winterOrange,characterCount
Winter,Blue,Sea Holly,1/7/2018,0,1,0,0,0,0,0,0,9
Winter,Blue,Singapore Orchid,1/7/2015,0,1,0,0,0,0,0,0,16
Winter,Blue,Anemone,1/7/2016,0,1,0,0,0,0,0,0,7
Winter,Blue,Hyacinth,1/7/2016,0,1,0,0,0,0,0,0,8
Winter,Green,Chrysanthemum,1/7/2016,0,0,0,0,1,0,0,0,13
Winter,Green,Cymbidium Orchid,1/7/2016,0,0,0,0,1,0,0,0,16
Winter,Green,Gymea,1/7/2016,0,0,0,0,1,0,0,0,5
Winter,Green,Molluca Balm,1/7/2016,0,0,0,0,1,0,0,0,12
Winter,Green,Moss,1/7/2016,0,0,0,0,1,0,0,0,4
Winter,Green,Antherium,1/7/2015,0,0,0,0,1,0,0,0,9
Winter,Green,Carnation,1/7/2015,0,0,0,0,1,0,0,0,9
Winter,Green,Rose,1/7/2015,0,0,0,0,1,0,0,0,4
Winter,Green,Singapore Orchid,1/7/2015,0,0,0,0,1,0,0,0,16
Winter,Orange,Rose,1/7/2017,0,0,0,0,0,0,0,1,4
Winter,Orange,Singapore Orchid,1/7/2017,0,0,0,0,0,0,0,1,16
Winter,Orange,Tulip,1/7/2017,0,0,0,0,0,0,0,1,5
Winter,Orange,Chrysanthemum,1/7/2015,0,0,0,0,0,0,0,1,13
Winter,Orange,Gerbera,1/7/2015,0,0,0,0,0,0,0,1,7
Winter,Orange,Lily,1/7/2016,0,0,0,0,0,0,0,1,4
Winter,Orange,Poker,1/7/2016,0,0,0,0,0,0,0,1,5
Winter,Orange,Poppy,1/7/2016,0,0,0,0,0,0,0,1,5
Winter,Orange,Ranunculi ,1/7/2016,0,0,0,0,0,0,0,1,10
Winter,Pink,Alstromeria,1/7/2017,0,0,0,0,0,0,1,0,11
Winter,Pink,Antherium,1/7/2015,0,0,0,0,0,0,1,0,9
Winter,Pink,Blushing Bride,1/7/2015,0,0,0,0,0,0,1,0,14
Winter,Pink,Carnation,1/7/2015,0,0,0,0,0,0,1,0,9
Winter,Pink,Chrysanthemum,1/7/2017,0,0,0,0,0,0,1,0,13
Winter,Pink,Cymbidium Orchid,1/7/2017,0,0,0,0,0,0,1,0,16
Winter,Pink,Gerbera,1/7/2017,0,0,0,0,0,0,1,0,7
Winter,Pink,Gladioli,1/7/2017,0,0,0,0,0,0,1,0,8
Winter,Pink,Gloriosa Lily,1/7/2017,0,0,0,0,0,0,1,0,13
Winter,Pink,Hyacinth,1/7/2015,0,0,0,0,0,0,1,0,8
Winter,Pink,Lily,1/7/2015,0,0,0,0,0,0,1,0,4
Winter,Pink,Lisianthus,1/7/2015,0,0,0,0,0,0,1,0,10
Winter,Pink,Poppy,1/7/2015,0,0,0,0,0,0,1,0,5
Winter,Pink,Protea,1/7/2016,0,0,0,0,0,0,1,0,6
Winter,Pink,Ranunculi ,1/7/2016,0,0,0,0,0,0,1,0,10
Winter,Pink,Rose,1/7/2016,0,0,0,0,0,0,1,0,4
Winter,Pink,Singapore Orchid,1/7/2016,0,0,0,0,0,0,1,0,16
Winter,Pink,Snap Dragon,1/7/2018,0,0,0,0,0,0,1,0,11
Winter,Pink,Stock,1/7/2018,0,0,0,0,0,0,1,0,5
Winter,Pink,Tulip,1/7/2018,0,0,0,0,0,0,1,0,5
Winter,Purple,Lisianthus,1/6/2013,0,0,0,1,0,0,0,0,10
